platform,post_title,question,question_hash,intent_core,created_at
tistory,[Notion] 노션 정렬(Sort) 기능으로 보기 순서 바꾸기,정렬이란 무엇인가?,42c83e969dd8ddb2880dba997e279ccd,[Notion]-노션-정렬(Sort)-기능으로,2026-04-25
tistory,[Notion] 노션 정렬(Sort) 기능으로 보기 순서 바꾸기,정렬은 2개가 필요하겠죠? 비용과 카테고리를 넣어보겠습니다.,e1a8b8ae97d12e2e5ba0e93c81ca05a6,[Notion]-노션-정렬(Sort)-기능으로,2026-04-25
tistory,[Notion] 노션 정렬(Sort) 기능으로 보기 순서 바꾸기,노션 정렬(Sort)은 정확히 무엇을 바꾸는 기능인가요?,7a65b941e19d88f111eb1941cd8c11ac,[Notion]-노션-정렬(Sort)-기능으로,2026-04-25
tistory,[Notion] 노션 정렬(Sort) 기능으로 보기 순서 바꾸기,오름차순과 내림차순은 어떻게 구분하나요?,b59656fe904fd871bd4893a5560b29e4,[Notion]-노션-정렬(Sort)-기능으로,2026-04-25
tistory,[Notion] 노션 정렬(Sort) 기능으로 보기 순서 바꾸기,정렬을 여러 개 동시에 걸면 어떻게 적용되나요?,d8f52165ed67ffd87e8917181e822c13,[Notion]-노션-정렬(Sort)-기능으로,2026-04-25
tistory,[Notion] 노션 정렬(Sort) 기능으로 보기 순서 바꾸기,정렬이 안 되는 것처럼 보일 때 무엇을 확인해야 하나요?,bda86b58cd4ed5078b266552a06c089f,[Notion]-노션-정렬(Sort)-기능으로,2026-04-25
tistory,[Notion] 노션 정렬(Sort) 기능으로 보기 순서 바꾸기,Select(우선순위) 정렬이 원하는 대로 안 나오는 이유는 무엇인가요?,2f8ed8471ab7e4ea2acdcd70d4922452,[Notion]-노션-정렬(Sort)-기능으로,2026-04-25
tistory,[Notion] 노션 정렬(Sort) 기능으로 보기 순서 바꾸기,날짜 정렬은 왜 가장 많이 쓰이나요?,e676a774d51d1bf3eed02791a2a159ff,[Notion]-노션-정렬(Sort)-기능으로,2026-04-25
tistory,[Notion] 노션 정렬(Sort) 기능으로 보기 순서 바꾸기,정렬과 필터의 차이는 무엇인가요?,23cf43aba8b85c4c04012a7b57b4afa0,[Notion]-노션-정렬(Sort)-기능으로,2026-04-25
tistory,[Notion] 노션 정렬(Sort) 기능으로 보기 순서 바꾸기,수동 드래그 정렬과 Sort 정렬은 어떻게 다른가요?,c57dba61888322e582c4de76a1891c87,[Notion]-노션-정렬(Sort)-기능으로,2026-04-25
