category,keyword,source,search_intent,trend_score,difficulty,duplicate_risk,created_at,reason,final_score,topic_type,topic_type_label,title
general_it,윈도우 오류 코드 0x80070005,perplexity_questions,problem_solving,95,low,low,2026-05-19,"작업 관리자, CPU 점유율, 일반 오류 해결과 달리 권한 오류 코드 자체에 집중한 주제임",95,error_solution,오류 해결형,윈도우 오류 코드 0x80070005 문제를 줄이는 실무 처리 순서
general_it,윈도우 업데이트 오류 0x800f081f,perplexity_questions,problem_solving,95,low,low,2026-05-19,기존 글의 작업 관리자나 CPU 문제와 겹치지 않는 업데이트 전용 오류 해결 주제임,95,error_solution,오류 해결형,윈도우 업데이트 오류 0x800f081f 자주 생기는 이유와 점검 순서
unreal,언리얼 엔진 캐릭터 애니메이션 안됨,perplexity_questions,problem_solving,95,low,low,2026-05-19,기존 글 목록에는 애니메이션 재생 문제나 캐릭터 동작 연결 이슈가 없음,95,error_solution,오류 해결형,언리얼 엔진 캐릭터 애니메이션 안됨 해결 전에 먼저 확인할 것
general_it,윈도우 디스크 오류 체크 및 수복,perplexity_questions,problem_solving,95,low,low,2026-05-12,"기존 글은 소프트웨어 오류이고, 본 주제는 하드드라이브의 물리적/논리적 손상 진단",95,error_solution,오류 해결형,윈도우 디스크 오류 체크 및 수복 해결 전에 먼저 확인할 것
unreal,언리얼 엔진 버전 업그레이드 방법,perplexity_questions,how_to,85,low,low,2026-05-19,"기존 글 목록에 버전 마이그레이션이나 엔진 업그레이드 전략이 없고, 설치·학습형 주제와도 다름",85,feature_explanation,기능 설명형,언리얼 엔진 버전 업그레이드 방법 처음 시작할 때 알아두면 좋은 사용법
unreal,언리얼 엔진 플러그인 활성화 방법,perplexity_questions,how_to,85,low,low,2026-05-19,"기존 글에는 플러그인 관리나 기능 확장 주제가 없고, 검색 의도도 도구 비교나 SEO와 무관함",85,feature_explanation,기능 설명형,언리얼 엔진 플러그인 활성화 방법 기능과 사용 방법 쉽게 설명
office365,microsoft teams 설치 방법,google_suggest,how_to,85,low,low,2026-05-12,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,85,feature_explanation,기능 설명형,microsoft teams 설치 방법 기능과 사용 방법 쉽게 설명
office365,outlook 용량 정리,google_suggest,practical,80,medium,low,2026-05-12,실무 활용 의도가 강해 경험형 콘텐츠로 확장하기 좋습니다.,80,practical_usage,실무 활용형,outlook 용량 정리 업무에 적용하는 단계별 방법
office365,outlook 메일 정리,google_suggest,practical,80,medium,low,2026-05-12,실무 활용 의도가 강해 경험형 콘텐츠로 확장하기 좋습니다.,80,practical_usage,실무 활용형,outlook 메일 정리 작업 흐름에 맞춰 정리한 활용법
office365,outlook 중복메일 정리,google_suggest,practical,80,medium,low,2026-05-12,실무 활용 의도가 강해 경험형 콘텐츠로 확장하기 좋습니다.,80,practical_usage,실무 활용형,outlook 중복메일 정리 업무에 적용하는 단계별 방법
trello,트렐로 vs 노션 업무관리 비교,perplexity_questions,comparison,90,medium,low,2026-05-19,기존 글은 트렐로 자체 사용법 중심이며 도구 비교 의도는 완전히 다름,90,comparison_analysis,비교/분석형,트렐로 vs 노션 업무관리 비교 비교할 때 먼저 봐야 할 핵심
office365,오피스 오피스365 차이,google_suggest,comparison,70,medium,low,2026-05-12,비교 검색 의도가 있어 선택 기준을 설명하는 글로 적합합니다.,70,comparison_analysis,비교/분석형,오피스 오피스365 차이 어떤 상황에서 무엇을 골라야 하는지 정리
