category,keyword,source,search_intent,trend_score,difficulty,duplicate_risk,created_at,reason,final_score,topic_type,topic_type_label,title
excel,엑셀 업데이트 후 발생하는 오류 대처와 롤백 방법,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,엑셀 업데이트 후 발생하는 오류 대처와 롤백 방법 문제를 줄이는 실무 처리 순서
ppt,문제점과 해결방안 슬라이드 만드는 실무 템플릿 10종,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,문제점과 해결방안 슬라이드 만드는 실무 템플릿 10종 원인과 해결 방법
ppt,트러스트 센터 설정으로 PPT 파일 위치 오류 해결,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,트러스트 센터 설정으로 PPT 파일 위치 오류 해결 자주 생기는 이유와 점검 순서
ppt,SWOT 분석 포함 문제 해결 PPT 실무 예시,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,SWOT 분석 포함 문제 해결 PPT 실무 예시 원인과 해결 방법
general_it,Git 브랜치 충돌 발생 시 실무 해결 팁,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,Git 브랜치 충돌 발생 시 실무 해결 팁 문제를 줄이는 실무 처리 순서
excel,엑셀 VLOOKUP 함수 실무 사용법과 오류 해결,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,엑셀 VLOOKUP 함수 실무 사용법과 오류 해결 자주 생기는 이유와 점검 순서
ppt,로직 트리 활용한 PPT 문제 해결 기법,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,로직 트리 활용한 PPT 문제 해결 기법 문제를 줄이는 실무 처리 순서
ppt,비즈니스 보고서 PPT 문제 인식부터 해결까지 구조,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,비즈니스 보고서 PPT 문제 인식부터 해결까지 구조 자주 생기는 이유와 점검 순서
ppt,3M 모델로 PPT 문제 원인 분석하는 사용법,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,3M 모델로 PPT 문제 원인 분석하는 사용법 해결 전에 먼저 확인할 것
ppt,실무에서 자주 쓰는 문제 해결 슬라이드 템플릿 커스터마이징,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,실무에서 자주 쓰는 문제 해결 슬라이드 템플릿 커스터마이징 해결 전에 먼저 확인할 것
ppt,PPT 트러스트 센터 설정으로 보안 오류 해결하기,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,PPT 트러스트 센터 설정으로 보안 오류 해결하기 문제를 줄이는 실무 처리 순서
word,워드 Copilot으로 여러 문서 정보 합성하는 실무 방법,perplexity_questions,how_to,100,low,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,100,feature_explanation,기능 설명형,워드 Copilot으로 여러 문서 정보 합성하는 실무 방법 초보자도 이해하기 쉬운 설정과 활용
general_it,VPN 초보자 가입부터 설정까지 단계별 사용법,perplexity_questions,how_to,100,low,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,100,feature_explanation,기능 설명형,VPN 초보자 가입부터 설정까지 단계별 사용법 기본 개념부터 적용 방법까지 정리
excel,셀 병합 문제 해결하고 보고서 만들기,perplexity_questions,problem_solving,100,low,low,2026-04-28,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,셀 병합 문제 해결하고 보고서 만들기 해결 전에 먼저 확인할 것
ppt,초보자용 PowerPoint 단축키 10가지 실무 활용법,perplexity_questions,practical,100,low,low,2026-04-28,실무 활용 의도가 강해 경험형 콘텐츠로 확장하기 좋습니다.,100,practical_usage,실무 활용형,초보자용 PowerPoint 단축키 10가지 실무 활용법 실무에서 바로 쓰는 방법
ppt,PPT 하이퍼링크 설정과 클릭 오류 수정 방법,perplexity_questions,problem_solving,100,low,low,2026-04-28,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,PPT 하이퍼링크 설정과 클릭 오류 수정 방법 원인과 해결 방법
unity,unity vscode 자동완성 안됨,google_suggest,problem_solving,100,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,unity vscode 자동완성 안됨 문제를 줄이는 실무 처리 순서
general_it,윈도우 11 디스플레이 설정 오류,google_suggest,problem_solving,100,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,윈도우 11 디스플레이 설정 오류 자주 생기는 이유와 점검 순서
office365,워드 기본적 으로 컴퓨터에 저장 안됨,google_suggest,problem_solving,100,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,워드 기본적 으로 컴퓨터에 저장 안됨 해결 전에 먼저 확인할 것
office365,워드 프로세서 컴퓨터 활용 능력 차이,google_suggest,comparison,100,low,low,2026-05-12,비교 검색 의도가 있어 선택 기준을 설명하는 글로 적합합니다.,100,comparison_analysis,비교/분석형,워드 프로세서 컴퓨터 활용 능력 차이 차이를 이해하고 선택하는 방법
office365,powerpoint 기본 글꼴 설정,google_suggest,how_to,100,low,low,2026-05-12,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,100,feature_explanation,기능 설명형,powerpoint 기본 글꼴 설정 기능과 사용 방법 쉽게 설명
jira,지라 대시보드 만들기 및 위젯 활용,perplexity_questions,how_to,100,low,low,2026-05-12,기존 글은 대시보드 개념만 언급하고 실제 구성 방법은 다루지 않음,100,feature_explanation,기능 설명형,지라 대시보드 만들기 및 위젯 활용 기본 개념부터 적용 방법까지 정리
jira,지라 백로그 관리 및 우선순위 설정,perplexity_questions,how_to,100,low,low,2026-05-12,기존 글은 기본 용어만 설명하고 실제 백로그 관리 방법론은 미포함,100,feature_explanation,기능 설명형,지라 백로그 관리 및 우선순위 설정 처음 시작할 때 알아두면 좋은 사용법
python,파이썬 함수 기본부터 고급까지 정리,perplexity_questions,how_to,100,low,low,2026-05-12,"기존 글은 자료형 중심, 이는 함수 설계와 고급 패턴 중심",100,feature_explanation,기능 설명형,파이썬 함수 기본부터 고급까지 정리 처음 시작할 때 알아두면 좋은 사용법
trello,트렐로 vs 아사나 vs 노션 업무 도구 비교,perplexity_questions,comparison,100,low,low,2026-05-12,"기존은 트렐로 단독 기능이고, 이는 도구 간 비교 분석 중심",100,comparison_analysis,비교/분석형,트렐로 vs 아사나 vs 노션 업무 도구 비교 차이를 이해하고 선택하는 방법
python,파이썬 함수 매개변수 기본값 설정,perplexity_questions,how_to,100,low,low,2026-05-13,기존 기본 문법과 달리 함수 설계의 유연성과 효율성 극대화,100,feature_explanation,기능 설명형,파이썬 함수 매개변수 기본값 설정 기본 개념부터 적용 방법까지 정리
notion,노션 협업 시 충돌 해결 및 버전 관리,perplexity_questions,problem_solving,100,low,low,2026-05-13,기존 글은 기본 공유만 다루고 실시간 협업 충돌 해결 미포함,100,error_solution,오류 해결형,노션 협업 시 충돌 해결 및 버전 관리 원인과 해결 방법
office365,오피스365 아웃룩 자동응답 설정 안됨,perplexity_questions,problem_solving,100,low,low,2026-05-13,엑셀 데이터 비교 아닌 메일 자동화 설정,100,error_solution,오류 해결형,오피스365 아웃룩 자동응답 설정 안됨 해결 전에 먼저 확인할 것
blender,블렌더 초보자 자주 하는 오류 5가지,perplexity_questions,problem_solving,100,low,low,2026-05-13,"기존 글들은 개별 기능 설명만 하고, 이 글은 초보자 자주 하는 오류 패턴 정리",100,error_solution,오류 해결형,블렌더 초보자 자주 하는 오류 5가지 자주 생기는 이유와 점검 순서
office365,onedrive 동기화 보류중 해결방법,google_suggest,problem_solving,100,low,low,2026-05-15,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,onedrive 동기화 보류중 해결방법 원인과 해결 방법
general_it,윈도우 관리자 권한 실행 안됨 해결,perplexity_questions,problem_solving,100,low,low,2026-05-19,일반 오류가 아니라 권한 실행 문제에 한정된 주제라 기존 글과 의도가 다릅니다.,100,error_solution,오류 해결형,윈도우 관리자 권한 실행 안됨 해결 해결 전에 먼저 확인할 것
unity,Unity 오류 사용법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,Unity 오류 사용법 문제를 줄이는 실무 처리 순서
unity,Unity 오류 자동화,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,Unity 오류 자동화 문제를 줄이는 실무 처리 순서
general_it,윈도우 오류 로그 확인 방법,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,윈도우 오류 로그 확인 방법 자주 생기는 이유와 점검 순서
general_it,윈도우 업데이트 오류 해결 방법,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,윈도우 업데이트 오류 해결 방법 문제를 줄이는 실무 처리 순서
general_it,윈도우 오류 확인 방법,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,윈도우 오류 확인 방법 해결 전에 먼저 확인할 것
general_it,윈도우 초기화 오류 해결 방법,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,윈도우 초기화 오류 해결 방법 해결 전에 먼저 확인할 것
general_it,윈도우 11 기본앱 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,윈도우 11 기본앱 오류 해결 전에 먼저 확인할 것
general_it,윈도우 기본 사진 앱 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,윈도우 기본 사진 앱 오류 해결 전에 먼저 확인할 것
general_it,윈도우 시간 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,윈도우 시간 설정 오류 원인과 해결 방법
general_it,윈도우 11 기본앱 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,윈도우 11 기본앱 설정 오류 자주 생기는 이유와 점검 순서
general_it,윈도우 11 pin 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,윈도우 11 pin 설정 오류 원인과 해결 방법
general_it,윈도우 pin 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,윈도우 pin 설정 오류 문제를 줄이는 실무 처리 순서
general_it,윈도우 11 핀 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,윈도우 11 핀 설정 오류 자주 생기는 이유와 점검 순서
general_it,윈도우 11 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,윈도우 11 설정 오류 문제를 줄이는 실무 처리 순서
general_it,윈도우 언어 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,윈도우 언어 설정 오류 원인과 해결 방법
general_it,Windows 오류 사용법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,Windows 오류 사용법 문제를 줄이는 실무 처리 순서
general_it,Windows 오류 방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,Windows 오류 방법 문제를 줄이는 실무 처리 순서
general_it,Windows 오류 초보,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,Windows 오류 초보 해결 전에 먼저 확인할 것
general_it,Windows 오류 자동화,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,Windows 오류 자동화 자주 생기는 이유와 점검 순서
general_it,Windows 오류 설정,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,Windows 오류 설정 문제를 줄이는 실무 처리 순서
general_it,Windows 오류 실무,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,Windows 오류 실무 해결 전에 먼저 확인할 것
general_it,Windows 오류 활용,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,Windows 오류 활용 문제를 줄이는 실무 처리 순서
general_it,컴퓨터 오류 해결 방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,컴퓨터 오류 해결 방법 해결 전에 먼저 확인할 것
general_it,Windows 오류 기본,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,Windows 오류 기본 해결 전에 먼저 확인할 것
general_it,Windows 오류 정리,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,Windows 오류 정리 해결 전에 먼저 확인할 것
general_it,컴퓨터 시간 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,컴퓨터 시간 설정 오류 원인과 해결 방법
general_it,인터넷 연결 오류 방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,인터넷 연결 오류 방법 문제를 줄이는 실무 처리 순서
general_it,인터넷 연결 오류 사용법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,인터넷 연결 오류 사용법 문제를 줄이는 실무 처리 순서
general_it,인터넷 연결 오류 초보,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,인터넷 연결 오류 초보 원인과 해결 방법
general_it,인터넷 연결 오류 설정,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,인터넷 연결 오류 설정 원인과 해결 방법
general_it,인터넷 연결 오류 활용,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,인터넷 연결 오류 활용 원인과 해결 방법
general_it,인터넷 연결 오류 자동화,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,인터넷 연결 오류 자동화 해결 전에 먼저 확인할 것
general_it,인터넷 연결 오류 정리,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,인터넷 연결 오류 정리 문제를 줄이는 실무 처리 순서
general_it,인터넷 연결 오류 실무,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,인터넷 연결 오류 실무 원인과 해결 방법
general_it,인터넷 연결 오류 기본,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,인터넷 연결 오류 기본 원인과 해결 방법
office365,엑셀 오류 없애는 방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,error_solution,오류 해결형,엑셀 오류 없애는 방법 자주 생기는 이유와 점검 순서
