category,keyword,source,search_intent,trend_score,difficulty,duplicate_risk,created_at,reason
excel,엑셀 업데이트 후 발생하는 오류 대처와 롤백 방법,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.
ppt,문제점과 해결방안 슬라이드 만드는 실무 템플릿 10종,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.
ppt,트러스트 센터 설정으로 PPT 파일 위치 오류 해결,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.
ppt,SWOT 분석 포함 문제 해결 PPT 실무 예시,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,Git 브랜치 충돌 발생 시 실무 해결 팁,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.
excel,엑셀 VLOOKUP 함수 실무 사용법과 오류 해결,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.
ppt,로직 트리 활용한 PPT 문제 해결 기법,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.
ppt,비즈니스 보고서 PPT 문제 인식부터 해결까지 구조,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.
ppt,3M 모델로 PPT 문제 원인 분석하는 사용법,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.
ppt,실무에서 자주 쓰는 문제 해결 슬라이드 템플릿 커스터마이징,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.
ppt,PPT 트러스트 센터 설정으로 보안 오류 해결하기,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.
word,워드 Copilot으로 여러 문서 정보 합성하는 실무 방법,perplexity_questions,how_to,100,low,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.
general_it,VPN 초보자 가입부터 설정까지 단계별 사용법,perplexity_questions,how_to,100,low,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.
excel,셀 병합 문제 해결하고 보고서 만들기,perplexity_questions,problem_solving,100,low,low,2026-04-28,문제 해결형 검색어라 방문 의도가 강합니다.
ppt,초보자용 PowerPoint 단축키 10가지 실무 활용법,perplexity_questions,practical,100,low,low,2026-04-28,실무 활용 의도가 강해 경험형 콘텐츠로 확장하기 좋습니다.
ppt,PPT 하이퍼링크 설정과 클릭 오류 수정 방법,perplexity_questions,problem_solving,100,low,low,2026-04-28,문제 해결형 검색어라 방문 의도가 강합니다.
unity,unity vscode 자동완성 안됨,google_suggest,problem_solving,100,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 11 디스플레이 설정 오류,google_suggest,problem_solving,100,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
office365,워드 기본적 으로 컴퓨터에 저장 안됨,google_suggest,problem_solving,100,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
office365,워드 프로세서 컴퓨터 활용 능력 차이,google_suggest,comparison,100,low,low,2026-05-12,비교 검색 의도가 있어 선택 기준을 설명하는 글로 적합합니다.
office365,powerpoint 기본 글꼴 설정,google_suggest,how_to,100,low,low,2026-05-12,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.
jira,지라 대시보드 만들기 및 위젯 활용,perplexity_questions,how_to,100,low,low,2026-05-12,기존 글은 대시보드 개념만 언급하고 실제 구성 방법은 다루지 않음
jira,지라 백로그 관리 및 우선순위 설정,perplexity_questions,how_to,100,low,low,2026-05-12,기존 글은 기본 용어만 설명하고 실제 백로그 관리 방법론은 미포함
python,파이썬 함수 기본부터 고급까지 정리,perplexity_questions,how_to,100,low,low,2026-05-12,"기존 글은 자료형 중심, 이는 함수 설계와 고급 패턴 중심"
trello,트렐로 vs 아사나 vs 노션 업무 도구 비교,perplexity_questions,comparison,100,low,low,2026-05-12,"기존은 트렐로 단독 기능이고, 이는 도구 간 비교 분석 중심"
python,파이썬 함수 매개변수 기본값 설정,perplexity_questions,how_to,100,low,low,2026-05-13,기존 기본 문법과 달리 함수 설계의 유연성과 효율성 극대화
notion,노션 협업 시 충돌 해결 및 버전 관리,perplexity_questions,problem_solving,100,low,low,2026-05-13,기존 글은 기본 공유만 다루고 실시간 협업 충돌 해결 미포함
office365,오피스365 아웃룩 자동응답 설정 안됨,perplexity_questions,problem_solving,100,low,low,2026-05-13,엑셀 데이터 비교 아닌 메일 자동화 설정
blender,블렌더 초보자 자주 하는 오류 5가지,perplexity_questions,problem_solving,100,low,low,2026-05-13,"기존 글들은 개별 기능 설명만 하고, 이 글은 초보자 자주 하는 오류 패턴 정리"
office365,onedrive 동기화 보류중 해결방법,google_suggest,problem_solving,100,low,low,2026-05-15,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 관리자 권한 실행 안됨 해결,perplexity_questions,problem_solving,100,low,low,2026-05-19,일반 오류가 아니라 권한 실행 문제에 한정된 주제라 기존 글과 의도가 다릅니다.
unity,Unity 오류 사용법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
unity,Unity 오류 자동화,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 오류 로그 확인 방법,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 업데이트 오류 해결 방법,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 오류 확인 방법,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 초기화 오류 해결 방법,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 11 기본앱 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 기본 사진 앱 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 시간 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 11 기본앱 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 11 pin 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 pin 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 11 핀 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 11 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,윈도우 언어 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,Windows 오류 사용법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,Windows 오류 방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,Windows 오류 초보,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,Windows 오류 자동화,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,Windows 오류 설정,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,Windows 오류 실무,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,Windows 오류 활용,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,컴퓨터 오류 해결 방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,Windows 오류 기본,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,Windows 오류 정리,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,컴퓨터 시간 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
general_it,인터넷 연결 오류 방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.
