category,keyword,source,search_intent,trend_score,difficulty,duplicate_risk,created_at,reason,final_score,topic_type,topic_type_label,title
excel,pdf to excel 방법,google_suggest,how_to,75,medium,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,75,feature_explanation,기능 설명형,pdf to excel 방법 기본 개념부터 적용 방법까지 정리
excel,gpt for excel 사용법,google_suggest,how_to,75,medium,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,75,feature_explanation,기능 설명형,gpt for excel 사용법 처음 시작할 때 알아두면 좋은 사용법
notion,맥북 Notion 사용법,google_suggest,how_to,75,medium,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,75,feature_explanation,기능 설명형,맥북 Notion 사용법 처음 시작할 때 알아두면 좋은 사용법
ppt,ppt pdf변환 방법,google_suggest,how_to,75,medium,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,75,feature_explanation,기능 설명형,ppt pdf변환 방법 기능과 사용 방법 쉽게 설명
ppt,ppt 폰트 적용 방법,google_suggest,how_to,75,medium,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,75,feature_explanation,기능 설명형,ppt 폰트 적용 방법 기본 개념부터 적용 방법까지 정리
ppt,ppt 폰트 추가 방법,google_suggest,how_to,75,medium,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,75,feature_explanation,기능 설명형,ppt 폰트 추가 방법 초보자도 이해하기 쉬운 설정과 활용
ppt,ppt 용량 줄이는 방법,google_suggest,how_to,75,medium,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,75,feature_explanation,기능 설명형,ppt 용량 줄이는 방법 처음 시작할 때 알아두면 좋은 사용법
ppt,ppt 공유 하는 방법,google_suggest,how_to,75,medium,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,75,feature_explanation,기능 설명형,ppt 공유 하는 방법 기본 개념부터 적용 방법까지 정리
ppt,ppt 잘 만드는 방법,google_suggest,how_to,75,medium,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,75,feature_explanation,기능 설명형,ppt 잘 만드는 방법 초보자도 이해하기 쉬운 설정과 활용
ppt,pdf to ppt 방법,google_suggest,how_to,75,medium,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,75,feature_explanation,기능 설명형,pdf to ppt 방법 초보자도 이해하기 쉬운 설정과 활용
ppt,감마 ai ppt 사용법,google_suggest,how_to,75,medium,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,75,feature_explanation,기능 설명형,감마 ai ppt 사용법 기본 개념부터 적용 방법까지 정리
ppt,캔바 ai ppt 사용법,google_suggest,how_to,75,medium,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,75,feature_explanation,기능 설명형,캔바 ai ppt 사용법 기본 개념부터 적용 방법까지 정리
ppt,gamma ppt 사용법,google_suggest,how_to,75,medium,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,75,feature_explanation,기능 설명형,gamma ppt 사용법 기본 개념부터 적용 방법까지 정리
ppt,gamma ai ppt 사용법,google_suggest,how_to,75,medium,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,75,feature_explanation,기능 설명형,gamma ai ppt 사용법 초보자도 이해하기 쉬운 설정과 활용
