run_id,topic_id,platform,title,keyword,structure_slot,lead_slot,rhythm_slot,style_slot,ending_slot,transition_signature,avg_sentence_length,paragraph_count,penalty_structure,penalty_rhythm,penalty_style,penalty_transition,penalty_ending,penalty_duplication_soft,total_penalty,best_similarity_score,best_structural_score,decision,decision_reason,rewrite_attempt,article_source,api_elapsed_seconds,attempt_elapsed_seconds,created_at
2026-05-12_1,20260503_naver_001_노션템플릿만들기,naver,노션 템플릿 만들기 실무에서 이 순서로 쓰면 됩니다,노션 템플릿 만들기,workflow_playbook,workflow_playbook_lead_1,action_first,operator_brief,conclusion_1,handoff_first,54.24,30,0,0,0,0,0,0,0,0.0278,0.0,accepted,no major diversity concentration detected,1,api,37.965,38.024,2026-05-12 15:32:09
2026-05-12_2,20260512_naver_001_git브랜치충돌발생시실무해결팁,naver,Git 브랜치 충돌 발생 시 실무 해결 팁 원인과 해결 방법,Git 브랜치 충돌 발생 시 실무 해결 팁,problem_solution,problem_solution_lead_3,standard,operator_brief,conclusion_3,handoff_first,60.8,83,0,0,0,0,0,0,0,0.0329,0.0,accepted,no major diversity concentration detected,1,local,0.004,0.019,2026-05-12 15:55:48
2026-05-12_2,20260512_naver_002_3m모델로ppt문제원인분석하는사용법,naver,3M 모델로 PPT 문제 원인 분석하는 사용법 사용할 때 알아야 할 것,3M 모델로 PPT 문제 원인 분석하는 사용법,checklist_review,checklist_review_lead_1,action_first,operator_brief,conclusion_3,scope_first,55.19,77,0,0,12,0,8,0,20,0.1146,0.1843,accepted,style slot repeated in recent outputs; ending slot repeated,1,local,0.001,0.031,2026-05-12 15:55:48
2026-05-12_2,20260512_naver_003_ppt트러스트센터설정으로보안오류해결하,naver,PPT 트러스트 센터 설정으로 보안 오류 해결하기 원인과 해결 방법,PPT 트러스트 센터 설정으로 보안 오류 해결하기,problem_solution,problem_solution_lead_3,standard,field_note,conclusion_3,scope_first,61.28,83,0,0,0,8,8,0,16,0.2666,0.3166,accepted,transition signature repeated; ending slot repeated,1,local,0.002,0.044,2026-05-12 15:55:48
2026-05-12_2,20260512_blogspot_kr_004_vpn초보자가입부터설정까지단계별사용법,blogspot_kr,VPN 초보자 가입부터 설정까지 단계별 사용법 처음 시작하는 방법,VPN 초보자 가입부터 설정까지 단계별 사용법,decision_guide,decision_guide_lead_2,standard,field_note,conclusion_2,scope_first,61.77,79,0,10,12,8,0,0,30,0.3848,0.3961,accepted,same rhythm slot as previous output; style slot repeated in recent outputs; transition signature repeated,1,local,0.028,0.113,2026-05-12 15:55:48
2026-05-12_3,20260512_naver_005_셀병합문제해결하고보고서만들기,naver,셀 병합 문제 해결하고 보고서 만들기 원인과 해결 방법,셀 병합 문제 해결하고 보고서 만들기,problem_solution,problem_solution_lead_1,standard,field_note,conclusion_1,scope_first,61.36,87,0,0,0,0,0,0,0,0.3323,0.361,accepted,no major diversity concentration detected,1,local,0.002,0.026,2026-05-12 15:56:52
2026-05-12_3,20260512_blogspot_kr_006_unityvscode자동완성안됨,blogspot_kr,unity vscode 자동완성 안됨 원인과 해결 방법,unity vscode 자동완성 안됨,problem_solution,problem_solution_lead_3,action_first,field_note,conclusion_3,handoff_first,62.35,83,15,0,12,0,0,0,27,0.3552,0.386,accepted,same structure slot as previous output; style slot repeated in recent outputs,1,local,0.001,0.04,2026-05-12 15:56:53
2026-05-12_3,20260512_tistory_008_워드기본적으로컴퓨터에저장안됨,tistory,워드 기본적 으로 컴퓨터에 저장 안됨 원인과 해결 방법,워드 기본적 으로 컴퓨터에 저장 안됨,problem_solution,problem_solution_lead_1,standard,field_note,conclusion_1,scope_first,61.4,87,25,0,12,8,0,0,45,0.3919,0.4307,accepted,same structure slot as previous output; structure slot concentrated in recent outputs; style slot repeated in recent outputs; transition signature repeated,1,local,0.095,0.187,2026-05-12 15:56:53
2026-05-12_3,20260512_tistory_007_윈도우11디스플레이설정오류,tistory,윈도우 11 디스플레이 설정 오류 원인과 해결 방법,윈도우 11 디스플레이 설정 오류,problem_solution,problem_solution_lead_1,action_first,field_note,conclusion_1,scope_first,60.73,87,25,10,12,8,0,0,55,0.5529,0.4661,similarity_retry,same structure slot as previous output; structure slot concentrated in recent outputs; same rhythm slot as previous output; style slot repeated in recent outputs; transition signature repeated,1,local,0.001,0.056,2026-05-12 15:56:53
2026-05-12_3,20260512_tistory_007_윈도우11디스플레이설정오류,tistory,윈도우 11 디스플레이 설정 오류 원인과 해결 방법,윈도우 11 디스플레이 설정 오류,comparison_guide,comparison_guide_lead_2,action_first,operator_brief,conclusion_2,rollback_first,54.97,73,0,0,0,0,0,0,0,0.1266,0.1864,accepted,no major diversity concentration detected,2,local,0.001,0.185,2026-05-12 15:56:53
