category,keyword,source,search_intent,trend_score,difficulty,duplicate_risk,created_at,reason,final_score,title,selected_at,topic_type,topic_type_label
excel,엑셀 업데이트 후 발생하는 오류 대처와 롤백 방법,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,엑셀 업데이트 후 발생하는 오류 대처와 롤백 방법 원인과 해결 방법,2026-05-12 15:55:45,,
ppt,문제점과 해결방안 슬라이드 만드는 실무 템플릿 10종,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,문제점과 해결방안 슬라이드 만드는 실무 템플릿 10종 원인과 해결 방법,2026-05-12 15:55:45,,
ppt,트러스트 센터 설정으로 PPT 파일 위치 오류 해결,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,트러스트 센터 설정으로 PPT 파일 위치 오류 해결 원인과 해결 방법,2026-05-12 15:55:45,,
ppt,SWOT 분석 포함 문제 해결 PPT 실무 예시,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,SWOT 분석 포함 문제 해결 PPT 실무 예시 원인과 해결 방법,2026-05-12 15:55:45,,
general_it,Git 브랜치 충돌 발생 시 실무 해결 팁,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,Git 브랜치 충돌 발생 시 실무 해결 팁 원인과 해결 방법,2026-05-12 15:55:45,,
excel,엑셀 VLOOKUP 함수 실무 사용법과 오류 해결,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,엑셀 VLOOKUP 함수 실무 사용법과 오류 해결 원인과 해결 방법,2026-05-12 15:55:45,,
ppt,로직 트리 활용한 PPT 문제 해결 기법,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,로직 트리 활용한 PPT 문제 해결 기법 원인과 해결 방법,2026-05-12 15:55:45,,
ppt,비즈니스 보고서 PPT 문제 인식부터 해결까지 구조,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,비즈니스 보고서 PPT 문제 인식부터 해결까지 구조 원인과 해결 방법,2026-05-12 15:55:45,,
ppt,3M 모델로 PPT 문제 원인 분석하는 사용법,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,3M 모델로 PPT 문제 원인 분석하는 사용법 사용할 때 알아야 할 것,2026-05-12 15:55:45,,
ppt,실무에서 자주 쓰는 문제 해결 슬라이드 템플릿 커스터마이징,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,실무에서 자주 쓰는 문제 해결 슬라이드 템플릿 커스터마이징 원인과 해결 방법,2026-05-12 15:55:45,,
ppt,PPT 트러스트 센터 설정으로 보안 오류 해결하기,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,PPT 트러스트 센터 설정으로 보안 오류 해결하기 원인과 해결 방법,2026-05-12 15:55:45,,
word,워드 Copilot으로 여러 문서 정보 합성하는 실무 방법,perplexity_questions,how_to,100,low,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,100,워드 Copilot으로 여러 문서 정보 합성하는 실무 방법 사용할 때 알아야 할 것,2026-05-12 15:55:45,,
general_it,VPN 초보자 가입부터 설정까지 단계별 사용법,perplexity_questions,how_to,100,low,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,100,VPN 초보자 가입부터 설정까지 단계별 사용법 처음 시작하는 방법,2026-05-12 15:56:45,,
excel,셀 병합 문제 해결하고 보고서 만들기,perplexity_questions,problem_solving,100,low,low,2026-04-28,문제 해결형 검색어라 방문 의도가 강합니다.,100,셀 병합 문제 해결하고 보고서 만들기 원인과 해결 방법,2026-05-12 15:56:45,,
ppt,초보자용 PowerPoint 단축키 10가지 실무 활용법,perplexity_questions,practical,100,low,low,2026-04-28,실무 활용 의도가 강해 경험형 콘텐츠로 확장하기 좋습니다.,100,초보자용 PowerPoint 단축키 10가지 실무 활용법 처음 시작하는 방법,2026-05-12 15:56:45,,
ppt,PPT 하이퍼링크 설정과 클릭 오류 수정 방법,perplexity_questions,problem_solving,100,low,low,2026-04-28,문제 해결형 검색어라 방문 의도가 강합니다.,100,PPT 하이퍼링크 설정과 클릭 오류 수정 방법 원인과 해결 방법,2026-05-12 15:56:45,,
unity,unity vscode 자동완성 안됨,google_suggest,problem_solving,100,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,unity vscode 자동완성 안됨 원인과 해결 방법,2026-05-12 15:56:45,,
general_it,윈도우 11 디스플레이 설정 오류,google_suggest,problem_solving,100,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 11 디스플레이 설정 오류 원인과 해결 방법,2026-05-12 15:56:45,,
